UF,Estado,Casos_entre_nascidos,Espinha bífidaprop,Outras malformações congênitas do sistema nervosoprop,Malformações congênitas do aparelho circulatórioprop,Fenda labial e fenda palatinaprop,Ausência atresia e estenose do intestino delgadoprop,Outras malformações congênitas do aparelho digestivoprop,Testiculo não-descidoprop,Outras malformações do aparelho geniturinárioprop,Deformidades congênitas do quadrilprop,Deformidades congênitas dos pésprop,Outras malformações e deformidades congênitas do aparelho osteomuscularprop,Outras malformações congênitasprop,Anomalias cromossômicas não classificadas em outra parteprop
MT,Mato Grosso,0.005244509927734512,0.015786150284150705,0.05437451764540798,0.029818283870062443,0.05262050094716902,0.0,0.03157230056830141,0.005262050094716902,0.04560443415421315,0.005262050094716902,0.09471690170490422,0.1771556865221357,0.08068476811899249,0.04034238405949624
PA,Pará,0.005396987763265368,0.0160306567225704,0.06259589767860824,0.03053458423346743,0.05419888701440469,0.0022900938175100575,0.04427514713852777,0.008397010664203543,0.045801876350201144,0.0007633646058366858,0.08855029427705555,0.17939068237162115,0.0862602004595455,0.028244490415957373
PB,Paraíba,0.006253897550111359,0.014253897550111359,0.06414253897550111,0.028507795100222718,0.06414253897550111,0.0,0.037416481069042315,0.030289532293986638,0.06770601336302895,0.005345211581291759,0.1086859688195991,0.1870824053452116,0.1086859688195991,0.035634743875278395
PE,Pernambuco,0.010209408007860476,0.03300786047654139,0.04298698108572832,0.04528985507246377,0.07522721690002457,0.0007676246622451486,0.03300786047654139,0.03147261115205109,0.14891918447555882,0.0007676246622451486,0.13356669123065587,0.41451731761238025,0.19497666421026774,0.037613608450012284
PI,Piauí,0.007500261151154288,0.016713673874438523,0.07103311396636373,0.05431944009192521,0.05640864932623002,0.0020892092343048154,0.041784184686096314,0.010446046171524078,0.03551655698318187,0.012535255405828893,0.15042306486994672,0.2569727358194923,0.1065496709495456,0.01880288310874334
PR,Paraná,0.006656607792668856,0.019116412122536203,0.05871469437636119,0.09148568658642325,0.06622471342450041,0.0034136450218814644,0.035501908227567235,0.010240935065644394,0.06212833939824266,0.0,0.10514026667394911,0.19935686927787752,0.09831297663018618,0.06554198442012411
RJ,Rio de Janeiro,0.007062984135914722,0.023107913958184723,0.06480262827403976,0.06028151467352536,0.0442064440939186,0.0020093838224508453,0.027126681603086414,0.0221032220469593,0.06831904996332874,0.0015070378668381342,0.07685893120874483,0.29236534616659804,0.11252549405724735,0.03767594667095335
RN,Rio Grande do Norte,0.007848652572361855,0.022683966972144087,0.08846747119136195,0.06578350421921786,0.06124671082478904,0.0,0.047636330641502585,0.006805190091643227,0.10661464476907721,0.002268396697214409,0.12249342164957808,0.2359132565102985,0.12476181834679248,0.052173124035931405
RO,Rondônia,0.007096899980503022,0.03899395593682979,0.05849093390524469,0.03899395593682979,0.08188730746734256,0.0,0.05069214271787873,0.019496977968414896,0.07798791187365958,0.0,0.10528368102944044,0.25346071358939365,0.13647884577890426,0.019496977968414896
RR,Roraima,0.006987916727325666,0.014558159848595138,0.0946280390158684,0.029116319697190276,0.05095355947008298,0.0,0.014558159848595138,0.0,0.05823263939438055,0.007279079924297569,0.05095355947008298,0.2620468772747125,0.14558159848595137,0.03639539962148784
RS,Rio Grande do Sul,0.009693721286370598,0.022970903522205207,0.042879019908116385,0.13476263399693722,0.08652373660030628,0.002297090352220521,0.04747320061255743,0.019908116385911178,0.10566615620214395,0.0030627871362940277,0.13476263399693722,0.29785604900459417,0.13552833078101073,0.06967840735068913
SC,Santa Catarina,0.00892035108537758,0.025574401047527468,0.06240153855596702,0.11559629273482415,0.0757002271006813,0.004091904167604394,0.048079873969351636,0.02455142500562637,0.08592998751969229,0.0010229760419010986,0.11457331669292305,0.26597377089428564,0.12378010107003294,0.09718272398060437
SE,Sergipe,0.011126352690138699,0.03962810547172687,0.06401463191586648,0.03962810547172687,0.0823045267489712,0.0,0.06401463191586648,0.04572473708276177,0.14327084285932024,0.0,0.21338210638622163,0.5182136869379668,0.14936747447035512,0.027434842249657063
SP,São Paulo,0.01295359724774455,0.029813691531285404,0.08293626916884848,0.2984982933920211,0.0731790610313369,0.0075889396625090115,0.11943545516472516,0.03360816136253991,0.1308188646584887,0.01608132452293576,0.11835132092722388,0.3440319313670752,0.18086972862313144,0.09630725809803103
TO,Tocantins,0.007583503749147921,0.017041581458759374,0.05112474437627812,0.06390593047034765,0.08094751192910703,0.004260395364689844,0.029822767552828904,0.021301976823449215,0.08520790729379686,0.017041581458759374,0.11077027948193592,0.33657123381049764,0.14911383776414452,0.017041581458759374
