UF,Estado,Casos_entre_nascidos,Espinha bífidaprop,Outras malformações congênitas do sistema nervosoprop,Malformações congênitas do aparelho circulatórioprop,Fenda labial e fenda palatinaprop,Ausência atresia e estenose do intestino delgadoprop,Outras malformações congênitas do aparelho digestivoprop,Testiculo não-descidoprop,Outras malformações do aparelho geniturinárioprop,Deformidades congênitas do quadrilprop,Deformidades congênitas dos pésprop,Outras malformações e deformidades congênitas do aparelho osteomuscularprop,Outras malformações congênitasprop,Anomalias cromossômicas não classificadas em outra parteprop
AC,Acre,0.0064597052367513326,0.012543116964565695,0.02508623392913139,0.006271558482282847,0.05644402634054563,0.006271558482282847,0.02508623392913139,0.012543116964565695,0.05017246785826278,0.0,0.08153026026967701,0.24459078080903104,0.13797428661022265,0.05017246785826278
AL,Alagoas,0.0077138995737602665,0.016633745711612434,0.07069341927435284,0.031188273209273313,0.06445576463249818,0.0020792182139515543,0.03950514606507953,0.01039609106975777,0.08524794677201372,0.006237654641854663,0.1497037114045119,0.32019960494853933,0.08524794677201372,0.03950514606507953
AM,Amazonas,0.004742051070291583,0.010656294539981084,0.05194943588240779,0.026640736349952714,0.05461350951740306,0.0013320368174976355,0.03063684680244562,0.017316478627469264,0.02131258907996217,0.0,0.06660184087488179,0.17183274945719498,0.0639377672398865,0.029304809984947985
AP,Amapá,0.017755548608940293,0.018755861206627072,0.09377930603313535,0.012503907471084715,0.05626758361988121,0.0,1.1503594873397938,0.0,0.037511722413254144,0.0,0.07502344482650829,0.2188183807439825,0.15004688965301657,0.06877149109096593
BA,Bahia,0.007350768123028645,0.012896084426366045,0.06394308528073164,0.059644390471942955,0.04298694808788681,0.0016120105532957557,0.03922559013019672,0.009134726468675948,0.07415248545160476,0.0042986948087886815,0.09564595949554816,0.28908722589103886,0.10800470707081562,0.04244961123678823
CE,Ceará,0.010230451797097407,0.03527741998999106,0.09598739857741753,0.07711808090835254,0.06317119393556538,0.0016408102320926074,0.0451222813825467,0.03117539440975954,0.08286091672067666,0.00656324092837043,0.19279520227088137,0.2937050315445767,0.1788483152980942,0.05578754789114865
DF,Distrito Federal,0.0086114921505868,0.017146776406035666,0.04762993446121018,0.05715592135345222,0.060966316110349035,0.0019051973784484073,0.053345526596555407,0.017146776406035666,0.08192348727328151,0.009525986892242036,0.1314586191129401,0.3562719097698522,0.12383782959914647,0.06668190824569425
ES,Espírito Santo,0.008463310052989309,0.041193102027824065,0.10672758252663508,0.09923792761248526,0.06553448049881101,0.0037448274570749153,0.06553448049881101,0.011234482371224746,0.09923792761248526,0.0018724137285374576,0.10485516879809763,0.28647930046623105,0.1366862021832344,0.08051379032711067
GO,Goiás,0.0077004548003239675,0.03239673540589371,0.06977758395115569,0.03987290511494611,0.06728552738147156,0.0012460282848420659,0.037380848545261976,0.019936452557473054,0.07849978194505015,0.0012460282848420659,0.14204722447199553,0.31150707121051646,0.10840446078125973,0.043610989969472304
MA,Maranhão,0.0047129804541424115,0.024094992096842592,0.055900381664674814,0.016384594625852962,0.03662438798720074,0.0009637996838737036,0.02891399051621111,0.0,0.03951578703882185,0.0028913990516211113,0.08385057249701222,0.15228035005204518,0.06457457881953815,0.025058791780716298
MG,Minas Gerais,0.0069333635723021845,0.029968978057848226,0.06358283182543475,0.06601274896526028,0.053458177076161704,0.003239889519767376,0.038068701857266664,0.011339613319185815,0.06236787325552199,0.002429917139825532,0.09922161654287588,0.27539060918022695,0.08909696179360284,0.049408315176452486
MS,Mato Grosso do Sul,0.005945681428920969,0.012233912405187179,0.05382921458282359,0.031808172253486665,0.06606312698801077,0.002446782481037436,0.041595302177636406,0.009787129924149743,0.03914851969659897,0.007340347443112307,0.10031808172253487,0.24712503058478102,0.12723268901394666,0.022021042329336923
