res_SIGLA_UF,ano_obito,ano_obito
AC,2017,0.075
AC,2018,0.04945054945054945
AC,2019,0.06951871657754011
AC,2020,0.047872340425531915
AL,2017,0.05410122164048865
AL,2018,0.058637083993660855
AL,2019,0.043478260869565216
AL,2020,0.05704697986577181
AM,2017,0.03811659192825112
AM,2018,0.04966139954853273
AM,2019,0.04966887417218543
AM,2020,0.029315960912052116
AP,2017,0.024630541871921183
AP,2018,0.04035874439461883
AP,2019,0.03015075376884422
AP,2020,0.0330188679245283
BA,2017,0.03909673070441524
BA,2018,0.041442048517520216
BA,2019,0.0472768532526475
BA,2020,0.04417670682730924
CE,2017,0.06150506512301013
CE,2018,0.06540795684423466
CE,2019,0.0625449317038102
CE,2020,0.055355859094176854
DF,2017,0.06982543640897755
DF,2018,0.09223300970873786
DF,2019,0.10497237569060773
DF,2020,0.0862533692722372
ES,2017,0.036072144288577156
ES,2018,0.06804123711340206
ES,2019,0.053169734151329244
ES,2020,0.0650887573964497
GO,2017,0.06420021762785637
GO,2018,0.07870837537840565
GO,2019,0.07476635514018691
GO,2020,0.07142857142857142
MA,2017,0.032237266279819474
MA,2018,0.037917737789203085
MA,2019,0.035886818495514144
MA,2020,0.03418181818181818
MG,2017,0.08234019501625135
MG,2018,0.07484253427195257
MG,2019,0.07539226942212017
MG,2020,0.08277493102089081
MS,2017,0.08125
MS,2018,0.0892018779342723
MS,2019,0.07205240174672489
MS,2020,0.07218683651804671
MT,2017,0.08442776735459662
MT,2018,0.06307977736549165
MT,2019,0.10112359550561797
MT,2020,0.08272058823529412
PA,2017,0.037794299876084264
PA,2018,0.045077105575326216
PA,2019,0.050063371356147024
PA,2020,0.03893695920889988
PB,2017,0.03645007923930269
PB,2018,0.055384615384615386
PB,2019,0.06484641638225255
PB,2020,0.03225806451612903
PE,2017,0.0760079312623926
PE,2018,0.06048906048906049
PE,2019,0.07460732984293193
PE,2020,0.07794943820224719
PI,2017,0.06923076923076923
PI,2018,0.04043545878693624
PI,2019,0.05516014234875445
PI,2020,0.04283054003724395
PR,2017,0.10423728813559321
PR,2018,0.09171075837742504
PR,2019,0.08977777777777778
PR,2020,0.09313264346190028
RJ,2017,0.05632342778161714
RJ,2018,0.053148889697852204
RJ,2019,0.0612013600302229
RJ,2020,0.055793991416309016
RN,2017,0.04275092936802974
RN,2018,0.0673469387755102
RN,2019,0.05689277899343545
RN,2020,0.04878048780487805
RO,2017,0.10245901639344263
RO,2018,0.10465116279069768
RO,2019,0.06772908366533864
RO,2020,0.09876543209876543
RR,2017,0.03816793893129771
RR,2018,0.046511627906976744
RR,2019,0.03424657534246575
RR,2020,0.07692307692307693
RS,2017,0.08470394736842106
RS,2018,0.07976490344248531
RS,2019,0.08317929759704251
RS,2020,0.0835707502374169
SC,2017,0.09240506329113925
SC,2018,0.1034928848641656
SC,2019,0.08024691358024691
SC,2020,0.09411764705882353
SE,2017,0.04060913705583756
SE,2018,0.0707070707070707
SE,2019,0.05413105413105413
SE,2020,0.04155844155844156
SP,2017,0.07000190222560396
SP,2018,0.07847196085811065
SP,2019,0.0725695129165845
SP,2020,0.08825894652191395
TO,2017,0.04184100418410042
TO,2018,0.09016393442622951
TO,2019,0.08118081180811808
TO,2020,0.08016877637130802
