UF,Estado,Casos_entre_nascidos,Espinha bífida,Outras malformações congênitas do sistema nervoso,Malformações congênitas do aparelho circulatório,Fenda labial e fenda palatina,Ausência atresia e estenose do intestino delgado,Outras malformações congênitas do aparelho digestivo,Testiculo não-descido,Outras malformações do aparelho geniturinário,Deformidades congênitas do quadril,Deformidades congênitas dos pés,Outras malformações e deformidades congênitas do aparelho osteomuscular,Outras malformações congênitas,Anomalias cromossômicas não classificadas em outra parte
AC,Acre,0.007925791111372043,0.03522573827276464,0.046967651030352844,0.07045147654552927,0.05283860740914695,0.0,0.05870956378794106,0.0,0.08219338930311748,0.02935478189397053,0.111548171197088,0.2113544296365878,0.09393530206070569,0.08219338930311748
AL,Alagoas,0.007337568349951753,0.022113219684786106,0.10453522032807977,0.034174975876487615,0.05025731746542297,0.0020102926986169186,0.024123512383403024,0.008041170794467674,0.08041170794467674,0.004020585397233837,0.13468961080733355,0.25128658732711484,0.12262785461563204,0.03618526857510453
AM,Amazonas,0.004940787946025439,0.007740137774452385,0.05934105627080162,0.0167702985113135,0.07611135478211511,0.0,0.02967052813540081,0.0012900229624087309,0.02967052813540081,0.0,0.08643153848138496,0.14061250290255167,0.09030160736861116,0.011610206661678578
AP,Amapá,0.007025900565644537,0.005954153021732658,0.1012206013694552,0.011908306043465317,0.041679071152128606,0.0,0.19648704971717773,0.005954153021732658,0.011908306043465317,0.011908306043465317,0.10717475439118786,0.1607621315867818,0.06549568323905924,0.05358737719559393
BA,Bahia,0.006475947539881456,0.014830414213468982,0.05190644974714144,0.02273996846065244,0.04004211837636625,0.0009886942808979321,0.02273996846065244,0.008403901387632423,0.06772555824150835,0.0019773885617958642,0.0830503195954263,0.2723852743873803,0.1077676766178746,0.02125692703930554
CE,Ceará,0.009080741163680165,0.032068078183538906,0.1040257170344067,0.07430408359600478,0.05240393264139285,0.0015642964967579956,0.04536459840598187,0.03285022643191791,0.09229349330872173,0.006257185987031982,0.1728547628917585,0.26984114569075424,0.15173676018552557,0.05005748789625586
DF,Distrito Federal,0.005388100694505187,0.012245683396602697,0.038486433532179905,0.029739516820320836,0.03498766684743628,0.0,0.04723335024403898,0.013995066738974512,0.06122841698301349,0.006997533369487256,0.05423088361352623,0.18543463429141227,0.08571978377621889,0.03323828350506446
ES,Espírito Santo,0.007529767802136437,0.016212418712733954,0.09907589213337416,0.09907589213337416,0.046835876281231426,0.0036027597139408787,0.041431736710320105,0.02521931799758615,0.08466485327761065,0.0,0.07745933384972889,0.24498766054797974,0.08646623313458109,0.0594455352800245
GO,Goiás,0.007184143402054618,0.010530503358060515,0.08073385907846395,0.031591510074181546,0.06084290829101631,0.0,0.04797229307560901,0.014040671144080688,0.07722369129244377,0.005850279643366953,0.11115531322397211,0.2503919687361056,0.12285587251070601,0.029251398216834763
MA,Maranhão,0.005019204303203116,0.017989979581373175,0.0782564111789733,0.03148246426740306,0.04317595099529562,0.0008994989790686587,0.038678456099952324,0.003597995916274635,0.05486943772318818,0.0,0.06836192240921807,0.1745028019393198,0.07375891628363002,0.01619098162323586
