UF,Estado,Casos_entre_nascidos,Espinha bífida,Outras malformações congênitas do sistema nervoso,Malformações congênitas do aparelho circulatório,Fenda labial e fenda palatina,Ausência atresia e estenose do intestino delgado,Outras malformações congênitas do aparelho digestivo,Testiculo não-descido,Outras malformações do aparelho geniturinário,Deformidades congênitas do quadril,Deformidades congênitas dos pés,Outras malformações e deformidades congênitas do aparelho osteomuscular,Outras malformações congênitas,Anomalias cromossômicas não classificadas em outra parte
AC,Acre,0.011304165794431652,0.0,0.1256018421603517,0.08373456144023446,0.08373456144023446,0.020933640360058615,0.020933640360058615,0.020933640360058615,0.020933640360058615,0.0,0.06280092108017585,0.39773916684111366,0.3140046054008792,0.1465354825204103
AL,Alagoas,0.010132242412710494,0.042812291884692225,0.10940919037199125,0.04756921320521359,0.07611074112834174,0.0,0.04756921320521359,0.019027685282085434,0.07135381980782038,0.0047569213205213585,0.18076301017981164,0.371039863000666,0.15697840357720483,0.04756921320521359
AM,Amazonas,0.004995884072780948,0.022708563967186124,0.0738028328933549,0.03122427545488092,0.06244855090976184,0.0,0.04257855743847398,0.022708563967186124,0.03973998694257572,0.011354281983593062,0.06812569190155837,0.1646370887620994,0.0823185443810497,0.014192852479491327
AP,Amapá,0.0318882867861609,0.0,0.06252605252188412,0.0,0.041684035014589414,0.0,2.6677782409337225,0.020842017507294707,0.12505210504376824,0.0,0.10421008753647353,0.12505210504376824,0.06252605252188412,0.08336807002917883
BA,Bahia,0.007687544043221081,0.005338572252236861,0.07046915372952657,0.049114864720579125,0.034166862414315914,0.0010677144504473723,0.035234576864763285,0.014948002306263213,0.06513058147728971,0.0021354289008947446,0.10143287279250038,0.3438040530440539,0.13453202075636891,0.04057314911700015
CE,Ceará,0.010633227603661644,0.04930399197988397,0.08874718556379114,0.07559945436915542,0.0525909247785429,0.0032869327986589313,0.05094745837921344,0.04437359278189557,0.13312077834568672,0.008217331996647328,0.20050290071819482,0.2941804854799744,0.17420743832892335,0.06409518957384916
DF,Distrito Federal,0.009586215265137726,0.016179266270274644,0.08898596448651054,0.0728066982162359,0.07685151478380456,0.0,0.06876188164866723,0.020224082837843303,0.10921004732435384,0.008089633135137322,0.09303078105407919,0.42875055616227803,0.12943413016219715,0.03640334910811795
ES,Espírito Santo,0.01027058241214321,0.03299785513941594,0.1031182973106748,0.13199142055766375,0.045372050816696916,0.0,0.06187097838640488,0.024748391354561954,0.11136776109552879,0.008249463784853984,0.11136776109552879,0.39184952978056425,0.16911400758950668,0.1031182973106748
GO,Goiás,0.008227141781941814,0.025953128649658715,0.0726687602190444,0.049310944434351564,0.07007344735407853,0.0,0.05190625729931743,0.0051906257299317434,0.09862188886870313,0.0025953128649658717,0.11159845319353248,0.32441410812073396,0.1453375204380888,0.0363343801095222
MA,Maranhão,0.004164119804400978,0.030562347188264057,0.04775366748166259,0.021011613691931542,0.03629278728606357,0.0,0.021011613691931542,0.0019101466992665036,0.03629278728606357,0.0,0.07449572127139364,0.14135085574572126,0.059214547677261614,0.022921760391198046
